"","g","F1.","F2."
"X111",-0.678273782074205,0.310060846340334,-0.371263770801185
"X112",-0.511067808060337,0.543211858675272,0.262423645705571
"X114",-1.03161921952022,-0.273411278837447,1.44941241123071
"X121",-0.0618247880178438,1.24002734118481,0.420728833639865
"X123",0.565601011283145,-0.978638524643589,-1.44993412432077
"X125",-0.46634673713874,-0.728052307400739,1.38983568541996
"X126",-1.15087324514841,-0.484262981036692,0.661106900611786
"X127",0.563201878774139,-0.231520524332621,0.580357592052865
"X128",2.53592873265715,-1.60009575865245,-1.82854977731862
"X132",1.36730706480592,-1.03281700273185,0.0129692931450022
"X134",-0.0314919836753537,0.596242674379326,2.34007236033354
"X136",-1.07945210035861,0.214179421279373,0.135586938120387
"X137",-0.798011460428494,-1.79997144614936,0.991511694017597
"X138",-0.366294022840741,-0.463040659763518,-0.444521621148904
"X139",0.327770864334193,1.80037780262961,-0.320944763479922
"X140",1.49345818245349,-0.747523286604911,1.44799822114209
"X142",-0.491753335967568,-1.16983264343374,0.660620085918979
"X147",0.0293424265685391,-1.14389993820755,-0.197787594115984
"X148",-0.343984820981297,-0.921093192572471,-0.186174383026641
"X149",-0.954280540786745,-0.310901061651011,0.536100541666349
"X150",-0.802123502212728,-0.64382170661851,-0.922051576978529
"X152",-0.916036029991935,0.366869254870377,0.658890282312087
"X153",-0.76812256099749,-0.891443178214836,0.167783967868136
"X154",-1.11845123959527,-0.0948443547796382,-0.0859663700618719
"X158",0.147857754351461,1.13604680150143,-0.243638721457884
"X160",-0.460966659759977,-0.512805002663977,1.69859432517183
"X161",0.153853138607068,1.31490982144524,1.40689446574951
"X162",-0.297802237762524,-1.29018862281143,-0.204282817834057
"X163",-0.6026632887186,-1.43874433982682,0.120869805956566
"X164",0.00122924763337529,0.704993418548765,0.42135698574181
"X165",-0.655640639358758,-0.576157686701809,-1.15118063687709
"X167",-0.310851189738698,-0.995281638732457,0.476358297095831
"X168",2.19657636263939,-1.37012620964034,1.05588628393564
"X170",1.44248412033684,-0.456109737696465,-2.20392666148097
"X171",-0.978141219008157,-0.572295564864778,0.0350094557999907
"X175",-0.460852816000475,0.342219954763436,-0.755847227941255
"X179",-0.394528721245205,0.146337935246032,-0.626640485940746
"X180",-0.452159188607142,0.157139816180179,-0.110108548216353
"X181",-0.575108597090237,-0.143243555644457,-0.475415706709719
"X184",1.04980358287999,-0.189571957746908,-0.224732787360515
"X185",-0.599537191835784,1.11666903208352,-0.785132809745127
"X186",-1.11770196968992,0.0492515939414573,1.71005140705827
"X187",0.883125885467362,0.272717095007829,1.52739726569201
"X188",-0.232602636837221,0.378168569981233,-0.3343239269825
"X189",-1.15340435565691,0.0948711053440507,-0.501649937254563
"X192",0.0166354158017152,-0.647806082638603,0.445308350994173
"X193",0.0304467089700218,0.190688149839498,1.5119274101778
"X194",1.71487393723142,0.520845287355596,0.241238619550708
"X195",-1.33660291207047,-0.240619006221982,0.320309459582527
"X196",-0.478068721392924,-0.619857354725269,1.4265748583534
"X197",-1.47712686676344,-0.638946562310341,-1.1685761672666
"X198",-0.415795659908231,-1.2367108453474,-0.885887709940006
"X200",-1.36033801478984,0.155995805786805,1.14598176174556
"X201",0.677009074411709,-1.70644983560582,-0.459328720762747
"X202",-0.459230437280667,0.157723462160976,0.468479130582511
"X203",-0.234558938814812,-0.842724664182558,0.288031041567479
"X207",1.27544385094236,-0.0670458509423652,0.326674112590851
"X208",-1.25123449155863,-1.16067621488936,-1.10803117701334
"X210",0.832836522093988,-0.967886436607064,-0.139204564998858
"X212",0.163309682297174,1.01249196530549,0.387780866539186
"X215",0.96416276542902,-1.72365256748492,-0.536590247072177
"X216",-0.526587810159753,0.202403967404086,1.51392905460846
"X217",-0.714872792266151,-1.17209221305404,0.185159275882476
"X218",-0.852004638990098,-1.703869945956,1.545253343631
