"","mevpea","sevpea","qevpea","sqevpea"
"V39",1.33583402987848,0.0297204430734156,1.2853855461917,0.00628048691232095
"V40",1.28940977060552,0.0299367844040224,1.24426574991438,0.00632620389211542
"V41",1.24726998922338,0.0314256943260011,1.19480355765118,0.00664083847732376
"V42",1.20351847239693,0.0309367902816252,1.15171623482556,0.00653752388526002
"V43",1.15933033916037,0.0281497595652057,1.11036638343786,0.00594857203499753
"V44",1.11881417631689,0.027407700107145,1.07758220270714,0.00579176095708049
"V45",1.07516407631743,0.0260607415826513,1.03062405927806,0.00550712336390514
"V46",1.0364262679186,0.0257811063406332,0.989191130457078,0.0054480311937992
"V47",0.995028964000962,0.0262968810773534,0.959207842869359,0.00555702406701025
"V48",0.957362301211371,0.0266476280243296,0.921387336959815,0.00563114347379631
"V49",0.921610695503987,0.0280408425576228,0.879945007532329,0.0059255558289819
"V50",0.883697136151119,0.0255491148864501,0.834756060357218,0.00539900704943606
"V51",0.846936421792204,0.0259018541103413,0.805454424583852,0.00547354746169166
"V52",0.815979235869354,0.0234898510236556,0.781149093368088,0.00496384598177134
"V53",0.777078175297424,0.0242726156552966,0.740789196193206,0.00512925882613256
"V54",0.741527196970966,0.0224560737779958,0.708701804002239,0.00474538946530611
"V55",0.709154072645996,0.0197258913270713,0.676420632204605,0.00416845071951005
"V56",0.679603400903426,0.0200512257834556,0.648879182748593,0.00423719999052197
"V57",0.650248071654557,0.0210633368348581,0.611113516873171,0.00445107803387573
"V58",0.621478792764987,0.0215339887879229,0.589791789986473,0.0045505356167987
"V59",0.591457076099461,0.0184599637522542,0.562075107062832,0.00390093648542056
"V60",0.563932839653282,0.0183246627990741,0.535618386583738,0.00387234485697232
"V61",0.53545533439393,0.0188939957524461,0.504975806770418,0.00399265558563721
"V62",0.511619296567989,0.0179806219139815,0.481503380663421,0.00379964256680828
"V63",0.485238318142839,0.019553591664072,0.452390016909817,0.00413204056991061
"V64",0.458908314172931,0.0181483260296325,0.42855104154963,0.00383508159108146
"V65",0.435542798940509,0.018258926600333,0.403248705837993,0.0038584535655525
"V66",0.412898815042145,0.0165991662510578,0.388337899478123,0.00350771508142348
"V67",0.38960079009494,0.0175008815901658,0.36173153069124,0.00369826444072871
"V68",0.367739430034041,0.0167426327646335,0.341211727398075,0.00353803224589652
"V69",0.345372853697694,0.0174253539394749,0.315577686974258,0.00368230403191144
"V70",0.324098742970324,0.0170630720530532,0.2952544817869,0.00360574707612778
"V71",0.303837686001072,0.0175210385909715,0.27749645465664,0.00370252399296483
"V72",0.285118619216289,0.0172707160693559,0.258614625890345,0.00364962615032559
"V73",0.267665334140553,0.0166915520633353,0.238337983974514,0.00352723793589304
"V74",0.24799577715967,0.0166508359376243,0.224354924243741,0.0035186338550583
"V75",0.232245014780374,0.0170911394001687,0.207556658606374,0.00361167823286681
"V76",0.216483518915271,0.0166337940414877,0.19208471877648,0.00351503258285037
"V77",0.201154200924646,0.0162795234182821,0.180061499369815,0.00344016855720425
"V78",0.186821651106214,0.0151956746101516,0.165200029927782,0.00321113098069223
"V79",0.173140742946223,0.0154905624841379,0.147893727325875,0.00327344631793664
"V80",0.160995321040279,0.0157513889533693,0.138291292065302,0.00332856384166763
"V81",0.150358767922292,0.0154088801569599,0.126243658297433,0.0032561853105707
"V82",0.140537725414817,0.0148785458078947,0.116713587216991,0.00314411571826245
"V83",0.130365278888853,0.0143964466657047,0.105833181071339,0.00304223912962996
"V84",0.1216246493101,0.0139777723883965,0.0967572348129889,0.0029537654042328
